iter	Passed	Remaining
535	80813	39803
536	81009	39675
537	81213	39549
538	81398	39415
539	81572	39275
540	81760	39142
541	81979	39023
542	82183	38897
543	82397	38775
544	82588	38642
545	82779	38509
546	82938	38360
547	83104	38215
548	83246	38059
549	83407	37912
550	83559	37760
551	83726	37616
552	83901	37474
553	84061	37327
554	84221	37178
555	84370	37026
556	84531	36878
557	84692	36730
558	84838	36576
559	85019	36436
560	85189	36292
561	85341	36141
562	85509	35996
563	85678	35851
564	85838	35702
565	85993	35552
566	86148	35401
567	86301	35249
568	86476	35107
569	86629	34955
570	86776	34801
571	86933	34651
572	87050	34486
573	87181	34325
574	87329	34172
575	87452	34009
576	87568	33843
577	87707	33686
578	87859	33535
579	88009	33382
580	88190	33242
581	88333	33087
582	88474	32931
583	88608	32772
584	88746	32616
585	88875	32456
586	89013	32299
587	89137	32137
588	89278	31982
589	89401	31820
590	89538	31664
591	89678	31508
592	89803	31348
593	89947	31193
594	90100	31043
595	90245	30889
596	90414	30743
597	90547	30586
598	90682	30429
599	90809	30269
600	90944	30113
601	91076	29955
602	91231	29805
603	91386	29655
604	91523	29499
605	91651	29340
606	91783	29183
607	91930	29030
608	92064	28874
609	92200	28718
610	92328	28559
611	92475	28407
612	92621	28254
613	92757	28099
614	92886	27941
615	93020	27785
616	93178	27636
617	93315	27481
618	93442	27323
619	93574	27166
620	93717	27013
621	93867	26862
622	93987	26702
623	94138	26551
624	94273	26396
625	94424	26245
626	94568	26093
627	94728	25944
628	94901	25799
629	95045	25647
630	95199	25497
631	95358	25348
632	95513	25198
633	95666	25048
634	95810	24895
635	95954	24742
636	96100	24590
637	96240	24437
638	96377	24283
639	96509	24127
640	96652	23974
641	96805	23824
642	96948	23671
643	97087	23518
644	97235	23366
645	97377	23213
646	97542	23066
647	97667	22909
648	97807	22756
649	97957	22605
650	98117	22457
651	98287	22310
652	98427	22157
653	98595	22010
654	98751	21860
655	98906	21711
656	99066	21562
657	99234	21415
658	99362	21259
659	99516	21109
660	99663	20958
661	99808	20805
662	99955	20654
663	100123	20507
664	100276	20356
665	100439	20208
666	100576	20054
667	100736	19905
668	100890	19755
669	101031	19603
670	101189	19453
671	101338	19302
672	101468	19147
673	101598	18993
674	101745	18841
675	101880	18688
676	102018	18535
677	102172	18384
678	102304	18231
679	102454	18080
680	102595	17927
681	102739	17776
682	102883	17624
683	103037	17474
684	103195	17324
685	103344	17173
686	103519	17027
687	103708	16882
688	103889	16736
689	104039	16586
690	104200	16436
691	104349	16285
692	104524	16138
693	104681	15988
694	104839	15838
695	105013	15691
696	105163	15540
697	105317	15390
698	105469	15239
699	105629	15089
700	105783	14939
701	105930	14787
702	106075	14636
703	106243	14487
704	106403	14338
705	106552	14186
706	106718	14037
707	106861	13885
708	107011	13734
709	107151	13582
710	107306	13432
711	107467	13282
712	107638	13134
713	107777	12981
714	107937	12831
715	108098	12682
716	108251	12531
717	108400	12379
718	108560	12230
719	108720	12080
720	108884	11930
721	109050	11781
722	109226	11632
723	109381	11482
724	109533	11331
725	109690	11180
726	109855	11030
727	110012	10880
728	110189	10731
729	110384	10584
730	110564	10436
731	110742	10287
732	110928	10139
733	111101	9990
734	111268	9840
735	111421	9688
736	111580	9538
737	111736	9387
738	111883	9235
739	112030	9083
740	112165	8930
741	112310	8778
742	112436	8625
743	112566	8472
744	112690	8319
745	112830	8167
746	112968	8015
747	113169	7867
748	113312	7715
749	113532	7568
750	113698	7418
751	113851	7267
752	114002	7115
753	114200	6967
754	114332	6814
755	114485	6663
756	114628	6511
757	114785	6360
758	114931	6208
759	115079	6056
760	115213	5904
761	115362	5753
762	115509	5601
763	115673	5450
764	115834	5299
765	115980	5147
766	116124	4996
767	116289	4845
768	116441	4693
769	116567	4541
770	116716	4390
771	116866	4238
772	117025	4087
773	117183	3936
774	117320	3784
775	117467	3633
776	117625	3481
777	117764	3330
778	117901	3178
779	118061	3027
780	118208	2875
781	118339	2723
782	118467	2572
783	118613	2420
784	118764	2269
785	118906	2117
786	119053	1966
787	119206	1815
788	119353	1663
789	119493	1512
790	119642	1361
791	119786	1209
792	119940	1058
793	120057	907
794	120176	755
795	120329	604
796	120484	453
797	120648	302
798	120790	151
799	120940	0
