iter	Accuracy	MultiClass
594	0.9580588641	0.0951334397
595	0.9580721895	0.09511281947
596	0.9580753726	0.0951077621
597	0.9580799839	0.09509133227
598	0.9580881536	0.09508493288
599	0.9580982113	0.0950724537
600	0.9581019027	0.09506908577
601	0.9581055942	0.09506353713
602	0.9581162449	0.09504298036
603	0.9581192587	0.09501745315
604	0.9581480399	0.09499490986
605	0.9581568025	0.09497228574
606	0.9581616922	0.09496876524
607	0.9581714231	0.09494782144
608	0.9581635803	0.09494345611
609	0.9581759375	0.09492036876
610	0.958175889	0.09491751655
611	0.9581978925	0.09491148285
612	0.9582218686	0.09482457427
613	0.9582170274	0.09482365456
614	0.9582241804	0.0948089065
615	0.9582266252	0.09480754739
616	0.9582363561	0.09479700649
617	0.9582434606	0.09478159642
618	0.9582515819	0.09476312529
619	0.9582551764	0.0947619562
620	0.958262644	0.09475122544
621	0.958277083	0.09473605173
622	0.9582783297	0.09473180756
623	0.958293507	0.09472089284
624	0.9582886658	0.09471247443
625	0.9582966417	0.09469296772
626	0.9582971984	0.09468961878
627	0.9583210415	0.09467087203
628	0.958326621	0.09464926013
629	0.9583278192	0.09464889636
630	0.9583331688	0.09462742971
631	0.9583471963	0.09460411359
632	0.9583533326	0.09460155429
633	0.9583594689	0.09457915353
634	0.9583635719	0.09457638121
635	0.9583917478	0.09450852068
636	0.9583983924	0.0944893883
637	0.9584134729	0.09448258396
638	0.9584107981	0.0944795964
639	0.9584132429	0.0944732927
640	0.9584168859	0.0944714996
641	0.9584161476	0.09446028415
642	0.9584100598	0.09445759869
643	0.9584098298	0.09445691915
644	0.9584231191	0.09444379674
645	0.9584260238	0.09442713743
646	0.9584304052	0.09441915022
647	0.958449637	0.09441214739
648	0.9584602876	0.09435089977
649	0.9584568746	0.09434608397
650	0.9584563662	0.09434207903
651	0.9584618489	0.09432496186
652	0.9584655403	0.09432415406
653	0.9584748597	0.09432154042
654	0.9584687234	0.09431750796
655	0.958483114	0.09430346597
656	0.9584774861	0.09429354645
657	0.9584984729	0.09429037378
658	0.958496391	0.0942759137
659	0.9584952897	0.09426148121
660	0.9585064972	0.09425751306
661	0.9585220375	0.09424434017
662	0.9585220375	0.0942426328
663	0.9585177047	0.0942316567
664	0.9585215292	0.09422243298
665	0.9585320952	0.09420902384
666	0.9585373964	0.09420308739
667	0.9585470304	0.09415803397
668	0.958555563	0.0941520091
669	0.9585516416	0.0941474414
670	0.9585533482	0.09414473084
671	0.9585613725	0.09414216888
672	0.9585598959	0.09413732098
673	0.9585551878	0.0941324559
674	0.9585641804	0.09411595517
675	0.9585618324	0.09410897551
676	0.9585703651	0.09408695615
677	0.9585887255	0.09407315609
678	0.9585850825	0.09407033501
679	0.9586048711	0.09406269473
680	0.9586211982	0.09405033262
681	0.9586214766	0.09404703542
682	0.9586362424	0.09403700503
683	0.9586309413	0.09403082447
684	0.9586351895	0.09401875343
685	0.9586384573	0.09400914409
686	0.9586379974	0.09399514563
687	0.9586451988	0.09398356065
688	0.9586375013	0.09396984684
689	0.9586393532	0.0939653601
690	0.9586457194	0.09395779657
691	0.9586541068	0.09394702244
692	0.9586634746	0.09394061202
693	0.9586705307	0.09393699035
694	0.9586685942	0.09393307002
695	0.958678422	0.09392234249
696	0.9586772238	0.09391376732
697	0.9586730724	0.09389730116
698	0.9586713659	0.09389530924
699	0.9586829002	0.0938793166
700	0.9586899563	0.0938698203
701	0.9586984405	0.09385910771
702	0.9586996872	0.09385815083
703	0.9587070216	0.09384329066
704	0.9587284199	0.09376867842
705	0.958737231	0.09376133995
706	0.9587493582	0.09372376603
707	0.9587493582	0.09372228209
708	0.9587527229	0.09371862638
709	0.9587532312	0.09371669089
710	0.9587971774	0.09365104382
711	0.9587956524	0.09364458927
712	0.9587985571	0.09364453442
713	0.9588031684	0.09364377715
714	0.9588205606	0.09363137752
715	0.958822727	0.09363003751
716	0.9588167361	0.0936163949
717	0.9588245305	0.09361170969
718	0.9588383643	0.09359509876
719	0.9588395625	0.09358275623
720	0.9588522103	0.09356465199
721	0.9588583466	0.09356102601
722	0.9588552119	0.0935575765
723	0.9588586734	0.09355606535
724	0.9588579836	0.09355281658
725	0.9588701109	0.09354131743
726	0.9588707523	0.09352750377
